representation,streams,command_bytes,dmabuf,replica,status,intent_payload_bytes,extent_bytes,host_retained_bytes,ops_per_phase,store_failures,load_failures,engine_store_MBps,engine_load_MBps,timed_logical_bytes_per_phase,dev_write_cmds,dev_write_bytes,dev_write_sizes,dev_read_cmds,dev_read_bytes,dev_read_sizes,dev_read_lat_p50_us,dev_read_lat_p99_us,dev_write_lat_p99_us,dev_bad_status,dev_unpaired,capture_drops,write_bytes_vs_logical,read_bytes_vs_logical
bf16_kv,8,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6876.0,14179.7,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17147.5,20034.8,39461.3,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6876.8,14144.4,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17142.0,18930.3,39530.1,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6873.3,14114.1,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17156.2,20938.6,39509.8,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,1,replay_status=0,33554432,33558528,0,256,0,0,6763.0,4802.3,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,389.3,1173.6,36459.9,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,2,replay_status=0,33554432,33558528,0,256,0,0,6753.1,4932.9,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,383.2,1246.6,37133.8,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,3,replay_status=0,33554432,33558528,0,256,0,0,6762.3,4866.6,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,443.8,2310.7,35971.4,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6864.5,14172.7,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17909.0,19992.1,40261.6,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6878.6,14152.9,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17890.7,19870.7,39645.2,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6865.4,14115.6,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17840.2,22420.3,40259.2,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6865.9,14281.0,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16663.8,18758.2,39481.5,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6871.3,14160.8,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16783.2,18465.7,39528.0,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6872.9,14121.7,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16702.7,19231.5,39773.2,0,0,0,1.0001,1.0000
k16_v8,1,1048576,udmabuf,1,replay_status=0,25166073,25174016,0,32,0,0,2609.6,2245.9,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,109.2,173.7,84.0,0,0,0,1.0003,1.0002
k16_v8,1,1048576,udmabuf,2,replay_status=0,25166073,25174016,0,32,0,0,2722.0,2560.4,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,107.5,191.9,79.9,0,0,0,1.0003,1.0002
k16_v8,1,1048576,udmabuf,3,replay_status=0,25166073,25174016,0,32,0,0,2729.6,2448.6,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,108.2,1074.6,83.7,0,0,0,1.0003,1.0002
k16_v8,1,131072,none,1,replay_status=0,25166073,25174016,0,32,0,0,2900.5,2589.0,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,100.0,1135.2,326.0,0,0,0,1.0003,1.0002
k16_v8,1,131072,none,2,replay_status=0,25166073,25174016,0,32,0,0,2893.3,2625.8,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,100.2,247.0,324.9,0,0,0,1.0003,1.0002
k16_v8,1,131072,none,3,replay_status=0,25166073,25174016,0,32,0,0,2873.0,2544.7,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,100.5,423.3,325.9,0,0,0,1.0003,1.0002
k16_v8,1,2097152,udmabuf,1,replay_status=0,25166073,25174016,0,32,0,0,2723.8,2671.1,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,108.3,195.1,79.9,0,0,0,1.0003,1.0002
k16_v8,1,2097152,udmabuf,2,replay_status=0,25166073,25174016,0,32,0,0,3108.2,2736.3,603985752,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,106.2,266.0,82.7,0,0,0,1.0003,1.0002
