representation,streams,command_bytes,dmabuf,replica,status,intent_payload_bytes,extent_bytes,host_retained_bytes,ops_per_phase,store_failures,load_failures,engine_store_MBps,engine_load_MBps,timed_logical_bytes_per_phase,dev_write_cmds,dev_write_bytes,dev_write_sizes,dev_read_cmds,dev_read_bytes,dev_read_sizes,dev_read_lat_p50_us,dev_read_lat_p99_us,dev_write_lat_p99_us,dev_bad_status,dev_unpaired,capture_drops,write_bytes_vs_logical,read_bytes_vs_logical
bf16_kv,8,1048576,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6873.3,14231.4,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17143.6,21355.0,39630.2,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6878.1,14268.1,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17125.2,19035.4,39500.9,0,0,0,1.0001,1.0000
bf16_kv,8,1048576,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6877.1,14238.3,6442450944,6336,6443237376,4096x192 1048576x6144,6144,6442450944,1048576x6144,17270.6,19467.7,39516.9,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,1,replay_status=0,33554432,33558528,0,256,0,0,6754.5,4861.3,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,373.4,1147.9,36329.3,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,2,replay_status=0,33554432,33558528,0,256,0,0,6766.7,5050.1,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,502.0,1260.6,36386.8,0,0,0,1.0001,1.0000
bf16_kv,8,131072,none,3,replay_status=0,33554432,33558528,0,256,0,0,6756.3,4894.1,6442450944,49344,6443237376,4096x192 131072x49152,49152,6442450944,131072x49152,472.8,1414.1,36151.8,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6872.9,14259.6,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17775.8,20872.1,40232.3,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6869.2,14252.9,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17841.5,21619.7,40159.6,0,0,0,1.0001,1.0000
bf16_kv,8,2097152,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6883.7,14231.6,6442450944,3264,6443237376,4096x192 2097152x3072,3072,6442450944,2097152x3072,17894.5,18929.1,40492.5,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,1,replay_status=0,33554432,33558528,0,256,0,0,6872.9,14202.4,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16670.8,18485.4,39849.4,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,2,replay_status=0,33554432,33558528,0,256,0,0,6875.7,14248.0,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16736.6,18684.8,39506.2,0,0,0,1.0001,1.0000
bf16_kv,8,524288,udmabuf,3,replay_status=0,33554432,33558528,0,256,0,0,6869.0,14231.2,6442450944,12480,6443237376,4096x192 524288x12288,12288,6442450944,524288x12288,16746.0,18660.3,39572.2,0,0,0,1.0001,1.0000
k16_v8,1,1048576,udmabuf,1,replay_status=0,25169920,25174016,0,32,0,0,7532.0,10454.3,604078080,624,604176384,4096x48 1048576x576,600,604078080,4096x24 1048576x576,1468.5,4465.1,3941.5,0,0,0,1.0002,1.0000
k16_v8,1,1048576,udmabuf,2,replay_status=0,25169920,25174016,0,32,0,0,7632.2,9505.4,604078080,624,604176384,4096x48 1048576x576,600,604078080,4096x24 1048576x576,1518.3,5946.8,3642.8,0,0,0,1.0002,1.0000
k16_v8,1,1048576,udmabuf,3,replay_status=0,25169920,25174016,0,32,0,0,7522.2,11361.0,604078080,624,604176384,4096x48 1048576x576,600,604078080,4096x24 1048576x576,1507.7,2710.1,3740.4,0,0,0,1.0002,1.0000
k16_v8,1,131072,none,1,replay_status=0,25169920,25174016,0,32,0,0,1882.9,2493.8,604078080,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,89.0,235.5,460.6,0,0,0,1.0002,1.0000
k16_v8,1,131072,none,2,replay_status=0,25169920,25174016,0,32,0,0,1831.8,2687.4,604078080,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,89.8,864.2,225.9,0,0,0,1.0002,1.0000
k16_v8,1,131072,none,3,replay_status=0,25169920,25174016,0,32,0,0,1852.4,2678.6,604078080,4656,604176384,4096x48 131072x4608,4632,604078080,4096x24 131072x4608,89.7,199.3,266.7,0,0,0,1.0002,1.0000
k16_v8,1,2097152,udmabuf,1,replay_status=0,25169920,25174016,0,32,0,0,7541.5,10438.6,604078080,336,604176384,4096x48 2097152x288,312,604078080,4096x24 2097152x288,1813.4,5000.8,3824.1,0,0,0,1.0002,1.0000
k16_v8,1,2097152,udmabuf,2,replay_status=0,25169920,25174016,0,32,0,0,7694.9,11922.6,604078080,336,604176384,4096x48 2097152x288,312,604078080,4096x24 2097152x288,1833.5,2880.8,3798.9,0,0,0,1.0002,1.0000
k16_v8,1,2097152,udmabuf,3,replay_status=0,25169920,25174016,0,32,0,0,7508.4,11225.8,604078080,336,604176384,4096x48 2097152x288,312,604078080,4096x24 2097152x288,1834.5,3359.8,3871.3,0,0,0,1.0002,1.0000
k16_v8,1,524288,udmabuf,1,replay_status=0,25169920,25174016,0,32,0,0,7586.8,10489.4,604078080,1200,604176384,4096x48 524288x1152,1176,604078080,4096x24 524288x1152,1320.0,3492.1,3478.1,0,0,0,1.0002,1.0000
k16_v8,1,524288,udmabuf,2,replay_status=0,25169920,25174016,0,32,0,0,7641.3,9589.2,604078080,1200,604176384,4096x48 524288x1152,1176,604078080,4096x24 524288x1152,1327.2,5350.9,3500.4,0,0,0,1.0002,1.0000
k16_v8,1,524288,udmabuf,3,replay_status=0,25169920,25174016,0,32,0,0,7673.6,11394.5,604078080,1200,604176384,4096x48 524288x1152,1176,604078080,4096x24 524288x1152,1394.0,1885.1,3566.5,0,0,0,1.0002,1.0000
k16_v8,4,1048576,udmabuf,1,replay_status=0,25169920,25174016,0,128,0,0,6981.9,13863.4,2416312320,2496,2416705536,4096x192 1048576x2304,2400,2416312320,4096x96 1048576x2304,5695.7,8194.9,14816.8,0,0,0,1.0002,1.0000
k16_v8,4,1048576,udmabuf,2,replay_status=0,25169920,25174016,0,128,0,0,7030.4,13385.1,2416312320,2496,2416705536,4096x192 1048576x2304,2400,2416312320,4096x96 1048576x2304,5684.1,7828.3,14758.8,0,0,0,1.0002,1.0000
k16_v8,4,1048576,udmabuf,3,replay_status=0,25169920,25174016,0,128,0,0,6968.2,14172.6,2416312320,2496,2416705536,4096x192 1048576x2304,2400,2416312320,4096x96 1048576x2304,5708.2,7295.5,14982.8,0,0,0,1.0002,1.0000
k16_v8,4,131072,none,1,replay_status=0,25169920,25174016,0,128,0,0,5603.0,2675.3,2416312320,18624,2416705536,4096x192 131072x18432,18528,2416312320,4096x96 131072x18432,91.3,357.9,1518.4,0,0,0,1.0002,1.0000
k16_v8,4,131072,none,2,replay_status=0,25169920,25174016,0,128,0,0,5620.7,2636.9,2416312320,18624,2416705536,4096x192 131072x18432,18528,2416312320,4096x96 131072x18432,89.3,360.6,1682.9,0,0,0,1.0002,1.0000
k16_v8,4,131072,none,3,replay_status=0,25169920,25174016,0,128,0,0,5737.4,2665.7,2416312320,18624,2416705536,4096x192 131072x18432,18528,2416312320,4096x96 131072x18432,90.6,1034.4,1418.5,0,0,0,1.0002,1.0000
k16_v8,4,2097152,udmabuf,1,replay_status=0,25169920,25174016,0,128,0,0,6985.3,13461.9,2416312320,1344,2416705536,4096x192 2097152x1152,1248,2416312320,4096x96 2097152x1152,5997.4,9146.8,14951.3,0,0,0,1.0002,1.0000
k16_v8,4,2097152,udmabuf,2,replay_status=0,25169920,25174016,0,128,0,0,6975.0,14198.1,2416312320,1344,2416705536,4096x192 2097152x1152,1248,2416312320,4096x96 2097152x1152,5812.0,7718.0,14988.2,0,0,0,1.0002,1.0000
k16_v8,4,2097152,udmabuf,3,replay_status=0,25169920,25174016,0,128,0,0,7004.5,13805.5,2416312320,1344,2416705536,4096x192 2097152x1152,1248,2416312320,4096x96 2097152x1152,6111.3,7724.6,15037.3,0,0,0,1.0002,1.0000
k16_v8,4,524288,udmabuf,1,replay_status=0,25169920,25174016,0,128,0,0,6980.8,14200.5,2416312320,4800,2416705536,4096x192 524288x4608,4704,2416312320,4096x96 524288x4608,5568.8,7001.1,14842.8,0,0,0,1.0002,1.0000
k16_v8,4,524288,udmabuf,2,replay_status=0,25169920,25174016,0,128,0,0,6972.7,13793.6,2416312320,4800,2416705536,4096x192 524288x4608,4704,2416312320,4096x96 524288x4608,5549.8,7056.5,14759.2,0,0,0,1.0002,1.0000
k16_v8,4,524288,udmabuf,3,replay_status=0,25169920,25174016,0,128,0,0,7002.8,13550.8,2416312320,4800,2416705536,4096x192 524288x4608,4704,2416312320,4096x96 524288x4608,5618.0,9732.6,14814.2,0,0,0,1.0002,1.0000
k16_v8,8,1048576,udmabuf,1,replay_status=0,25169920,25174016,0,256,0,0,6876.8,13958.2,4832624640,4992,4833411072,4096x384 1048576x4608,4800,4832624640,4096x192 1048576x4608,12651.2,14610.6,30181.9,0,0,0,1.0002,1.0000
k16_v8,8,1048576,udmabuf,2,replay_status=0,25169920,25174016,0,256,0,0,6901.0,14159.6,4832624640,4992,4833411072,4096x384 1048576x4608,4800,4832624640,4096x192 1048576x4608,12673.7,14332.1,29691.7,0,0,0,1.0002,1.0000
k16_v8,8,1048576,udmabuf,3,replay_status=0,25169920,25174016,0,256,0,0,6896.7,14310.1,4832624640,4992,4833411072,4096x384 1048576x4608,4800,4832624640,4096x192 1048576x4608,12599.3,14435.8,30089.0,0,0,0,1.0002,1.0000
k16_v8,8,131072,none,1,replay_status=0,25169920,25174016,0,256,0,0,6775.4,5088.1,4832624640,37248,4833411072,4096x384 131072x36864,37056,4832624640,4096x192 131072x36864,442.2,1170.6,26355.2,0,0,0,1.0002,1.0000
k16_v8,8,131072,none,2,replay_status=0,25169920,25174016,0,256,0,0,6786.9,5034.1,4832624640,37248,4833411072,4096x384 131072x36864,37056,4832624640,4096x192 131072x36864,363.4,1041.2,26333.0,0,0,0,1.0002,1.0000
k16_v8,8,131072,none,3,replay_status=0,25169920,25174016,0,256,0,0,6782.9,5168.4,4832624640,37248,4833411072,4096x384 131072x36864,37056,4832624640,4096x192 131072x36864,433.2,1171.8,26558.2,0,0,0,1.0002,1.0000
k16_v8,8,2097152,udmabuf,1,replay_status=0,25169920,25174016,0,256,0,0,6892.5,14189.7,4832624640,2688,4833411072,4096x384 2097152x2304,2496,4832624640,4096x192 2097152x2304,12971.0,14443.3,29812.3,0,0,0,1.0002,1.0000
k16_v8,8,2097152,udmabuf,2,replay_status=0,25169920,25174016,0,256,0,0,6877.0,14268.4,4832624640,2688,4833411072,4096x384 2097152x2304,2496,4832624640,4096x192 2097152x2304,12657.1,14974.2,29897.5,0,0,0,1.0002,1.0000
k16_v8,8,2097152,udmabuf,3,replay_status=0,25169920,25174016,0,256,0,0,6886.9,14095.1,4832624640,2688,4833411072,4096x384 2097152x2304,2496,4832624640,4096x192 2097152x2304,12969.5,15345.6,30299.7,0,0,0,1.0002,1.0000
k16_v8,8,524288,udmabuf,1,replay_status=0,25169920,25174016,0,256,0,0,6908.8,14196.7,4832624640,9600,4833411072,4096x384 524288x9216,9408,4832624640,4096x192 524288x9216,12474.5,13973.6,29561.8,0,0,0,1.0002,1.0000
