model,chunk_tok,mdts_bytes,obj_bytes,store_cmds,store_MBps,load_MBps,store_failed,load_failed
Llama-3.1-405B,64,524288,33030144,64,4290.7,2443.1,0,0
Llama-3.1-405B,64,1048576,33030144,33,4307.1,2561.6,0,0
Llama-3.1-405B,64,2097152,33030144,17,4298.6,3463.8,0,0
Llama-3.1-405B,256,131072,132120576,1009,4234.9,1544.1,0,0
Llama-3.1-405B,256,262144,132120576,505,4328.6,2087.1,0,0
Llama-3.1-405B,256,524288,132120576,253,4375.9,2720.1,0,0
Llama-3.1-405B,256,1048576,132120576,127,4372.9,2893.7,0,0
Llama-3.1-405B,256,2097152,132120576,64,4377.7,3955.3,0,0
Llama-3.1-405B,512,131072,264241152,2017,4250.5,1794.2,0,0
Llama-3.1-405B,512,262144,264241152,1009,4106.3,2050.9,0,0
Llama-3.1-405B,512,524288,264241152,505,4361.3,2728.2,0,0
Llama-3.1-405B,512,1048576,264241152,253,4382.3,2823.4,0,0
Llama-3.1-405B,512,2097152,264241152,127,4390.5,4060.5,0,0
DeepSeek-V3,16,131072,1124352,10,1819.4,526.7,0,0
DeepSeek-V3,16,262144,1124352,6,1809.0,609.3,0,0
DeepSeek-V3,16,524288,1124352,4,1789.6,710.6,0,0
DeepSeek-V3,16,1048576,1124352,3,1900.5,827.6,0,0
DeepSeek-V3,16,2097152,1124352,2,x,x,-1,-1
DeepSeek-V3,64,131072,4497408,36,3844.0,1332.2,0,0
DeepSeek-V3,64,262144,4497408,19,3865.8,1341.2,0,0
DeepSeek-V3,64,524288,4497408,10,3890.0,1649.0,0,0
DeepSeek-V3,64,1048576,4497408,6,3915.7,1905.0,0,0
DeepSeek-V3,64,2097152,4497408,4,4001.7,2220.2,0,0
DeepSeek-V3,256,131072,17989632,139,4154.6,1392.2,0,0
DeepSeek-V3,256,262144,17989632,70,4211.7,1889.1,0,0
DeepSeek-V3,256,524288,17989632,36,4268.1,2512.8,0,0
DeepSeek-V3,256,1048576,17989632,19,4232.2,2392.1,0,0
DeepSeek-V3,256,2097152,17989632,10,4241.3,3220.2,0,0
DeepSeek-V3,512,131072,35979264,276,4201.6,1400.0,0,0
DeepSeek-V3,512,262144,35979264,139,4305.4,2021.4,0,0
DeepSeek-V3,512,524288,35979264,70,4291.5,2559.4,0,0
DeepSeek-V3,512,1048576,35979264,36,4301.9,2592.7,0,0
DeepSeek-V3,512,2097152,35979264,19,4344.0,3962.5,0,0
